"Name","totalWells","Runtime","eliteSize","mutationRate","numGenerations","populationSize","tournamentSize","finalMSE","monetaryCost","timeCost"
"lilac-sweep-127","15","353","3","0.05","150","20","3","0.115676648914814","416930.74686070805","41693.0746860708"
"treasured-sweep-153","15","641","3","0.1","50","100","6","0.11786308884620668","419231.9600918541","41923.1960091854"
"volcanic-sweep-257","15","286","4","0.1","50","50","4","0.1167859360575676","417972.3918157801","41797.23918157801"
"cosmic-sweep-185","15","586","3","0.15","50","50","4","0.1156785860657692","418082.6062971453","41808.26062971452"
"ethereal-sweep-43","15","614","2","0.1","50","100","3","0.1185198724269867","419242.5852411828","41924.25852411829"
"wild-sweep-149","15","307","3","0.1","50","50","4","0.11477626860141754","418112.5696117404","41811.25696117403"
"cerulean-sweep-191","15","255","3","0.15","100","20","4","0.11569719016551971","417413.39212826535","41741.33921282654"
"iconic-sweep-165","15","965","3","0.1","150","20","6","0.1169576421380043","417938.3128854132","41793.8312885413"
"still-sweep-237","16","374","4","0.05","150","20","6","0.11417683959007265","445396.3967709557","44539.63967709556"
"lively-sweep-42","16","335","2","0.1","50","50","6","0.11761264503002168","445990.34502604057","44599.03450260405"
"sleek-sweep-4","16","117","2","0.05","50","50","3","0.11318116635084152","443560.4089057055","44356.04089057055"
"eager-sweep-113","16","319","3","0.05","50","50","4","0.1135254055261612","444216.7530495572","44421.67530495572"
"frosty-sweep-150","16","325","3","0.1","50","50","6","0.11690471321344376","446217.57827846194","44621.757827846195"
"earnest-sweep-225","16","699","4","0.05","50","100","6","0.11604823917150496","446837.8518451555","44683.78518451555"
"quiet-sweep-74","16","143","2","0.15","50","20","4","0.11144906282424928","443054.0455731451","44305.404557314505"
"solar-sweep-46","16","265","2","0.1","100","20","3","0.11527188867330553","444874.8813487104","44487.48813487104"
"pretty-sweep-47","16","263","2","0.1","100","20","4","0.11475620418787004","444980.4607509453","44498.04607509454"
"deft-sweep-5","16","159","2","0.05","50","50","4","0.11440667510032654","442925.6816739382","44292.568167393816"
"upbeat-sweep-78","16","829","2","0.15","50","50","6","0.11711109429597856","446794.75774034264","44679.47577403426"
"sleek-sweep-40","16","340","2","0.1","50","50","3","0.11770405620336533","446141.4439526632","44614.14439526631"
"jolly-sweep-264","16","266","4","0.1","100","20","6","0.1145918220281601","444609.6095839088","44460.96095839086"
"vague-sweep-228","16","430","4","0.05","100","20","6","0.1131742224097252","444269.468436548","44426.9468436548"
"stoic-sweep-41","17","354","2","0.1","50","50","4","0.11314644664525986","474369.2274803698","47436.922748036974"
"quiet-sweep-217","17","157","4","0.05","50","20","3","0.10841262340545654","467327.67791287694","46732.76779128769"
"sleek-sweep-182","17","134","3","0.15","50","20","4","0.10974133014678956","471544.83193811856","47154.48319381186"
"daily-sweep-293","17","323","4","0.15","50","50","4","0.11259952187538148","474918.3232382853","47491.83232382853"
"radiant-sweep-119","17","295","3","0.05","100","20","4","0.1108274906873703","470195.9937841292","47019.59937841292"
"peach-sweep-235","17","542","4","0.05","150","20","3","0.11209628731012344","473065.2599512216","47306.52599512215"
"desert-sweep-262","17","325","4","0.1","100","20","3","0.1128670647740364","472971.4897789828","47297.14897789828"
"silvery-sweep-118","17","286","3","0.05","100","20","3","0.1113462895154953","470115.12739763624","47011.51273976363"
"golden-sweep-289","17","151","4","0.15","50","20","3","0.10999556630849838","471739.5402637388","47173.95402637387"
"floral-sweep-220","18","1257","4","0.05","50","50","3","0.11195429414510728","500624.6569492051","50062.46569492053"
"daily-sweep-256","18","620","4","0.1","50","50","3","0.11278843134641647","502053.5581890918","50205.355818909185"
"spring-sweep-221","18","308","4","0.05","50","50","4","0.10834931582212448","501006.7664424105","50100.67664424103"
"spring-sweep-184","18","794","3","0.15","50","50","3","0.11257628351449966","502310.49882499664","50231.04988249966"
"pleasant-sweep-120","18","294","3","0.05","100","20","6","0.11074279993772508","497574.8221245971","49757.48221245972"
"astral-sweep-75","19","170","2","0.15","50","20","6","0.1054019033908844","526520.4139625591","52652.04139625591"
"leafy-sweep-183","19","148","3","0.15","50","20","6","0.1059485375881195","526120.6214057299","52612.06214057299"
"morning-sweep-290","19","144","4","0.15","50","20","4","0.10512959212064744","526565.5843265082","52656.55843265082"
"fragrant-sweep-291","19","169","4","0.15","50","20","6","0.10452341288328172","528077.16798512","52807.716798512"
"hardy-sweep-114","19","386","3","0.05","50","50","6","0.11116522550582886","528920.0124884604","52892.00124884605"
"vital-sweep-146","20","132","3","0.1","50","20","4","0.10563334077596664","554168.1577215199","55416.81577215199"
"autumn-sweep-227","20","461","4","0.05","100","20","4","0.1057097315788269","551159.2815200924","55115.92815200924"
"crimson-sweep-219","21","162","4","0.05","50","20","6","0.09968475997447968","573256.8148593477","57325.68148593477"
"noble-sweep-255","21","163","4","0.1","50","20","6","0.10394751280546188","579944.7423892079","57994.47423892079"
"gentle-sweep-181","21","166","3","0.15","50","20","3","0.10168655961751938","582960.1872821789","58296.01872821789"
"eager-sweep-39","21","220","2","0.1","50","20","6","0.10394369065761566","584063.3161054115","58406.331610541136"
"splendid-sweep-254","21","162","4","0.1","50","20","4","0.1014995127916336","575962.2931248453","57596.22931248453"
"light-sweep-145","21","1321","3","0.1","50","20","3","0.09895214438438416","576961.94632221","57696.194632221006"
"divine-sweep-110","21","175","3","0.05","50","20","4","0.09757113456726074","576383.2126090729","57638.32126090729"
"grateful-sweep-37","22","210","2","0.1","50","20","3","0.10021165758371352","608943.2860485427","60894.32860485425"
"copper-sweep-73","22","190","2","0.15","50","20","3","0.10206347703933716","611317.9460678027","61131.79460678029"
"vivid-sweep-253","22","176","4","0.1","50","20","3","0.09892039746046066","607244.4667725656","60724.44667725657"
"silver-sweep-111","24","197","3","0.05","50","20","6","0.09068310260772704","661349.6538971937","66134.96538971935"
"northern-sweep-3","24","49","2","0.05","50","20","6","0.09757306426763536","659326.2844323749","65932.62844323747"
"cosmic-sweep-1","24","55","2","0.05","50","20","3","0.0949523225426674","659813.606417509","65981.3606417509"
